generator node,load node,road node,state
G4,L9,R499,normal
G4,L8,R82,normal
G4,L8,R81,normal
G4,L8,R80,normal
G4,L8,R573,normal
G4,L10,R74,normal
G4,L10,R76,normal
G4,L10,R77,normal
G4,L10,R480,normal
G4,L12,R70,normal
G4,L12,R71,normal
G4,L12,R576,normal
G4,L12,R75,normal
G4,L12,R73,normal
G4,L12,R574,normal
G4,L11,R72,normal
G4,L11,R575,normal
G4,L11,R78,normal
G4,L11,R79,normal
G4,L16,R95,normal
G4,L16,R498,normal
G4,L16,R520,normal
G4,L16,R96,normal
G4,L16,R97,normal
G4,L14,R141,normal
G4,L14,R142,normal
G4,L13,R524,normal
G4,L13,R521,normal
G5,L1,R86,normal
G5,L1,R572,normal
G5,L1,R91,normal
G5,L1,R92,normal
G5,L1,R93,normal
G5,L1,R133,normal
G5,L1,R503,normal
G5,L1,R134,normal
G5,L1,R135,normal
G5,L1,R502,normal
G5,L1,R501,normal
G5,L1,R132,normal
G5,L2,R88,normal
G5,L2,R522,normal
G5,L2,R94,normal
G5,L3,R87,normal
G5,L66,R83,normal
G5,L66,R84,normal
G5,L66,R577,normal
G5,L66,R485,normal
G5,L66,R85,normal
G5,L7,R525,normal
G5,L5,R136,normal
G5,L5,R138,normal
G5,L5,R523,normal
G5,L5,R274,normal
G5,L5,R139,normal
G5,L4,R249,normal
G5,L4,R248,normal
G5,L4,R251,normal
G5,L4,R252,normal
G5,L4,R253,normal
G5,L4,R250,normal
G5,L4,R247,normal
G5,L4,R246,normal
G5,L4,R267,normal
G5,L4,R266,normal
G5,L4,R570,normal
G5,L4,R265,normal
G5,L4,R264,normal
G5,L4,R263,normal
G5,L4,R569,normal
G5,L4,R269,normal
G5,L4,R270,normal
G5,L6,R568,normal
G5,L6,R255,normal
G5,L6,R254,normal
G5,L6,R256,normal
G5,L6,R571,normal
G5,L6,R257,normal
G5,L6,R258,normal
G5,L6,R239,normal
G5,L6,R238,normal
G5,L15,R140,normal
G8,L63,R259,normal
G8,L63,R260,normal
G8,L63,R237,normal
G8,L63,R271,normal
G8,L63,R236,normal
G8,L62,R268,normal
G8,L60,R489,normal
G8,L60,R488,normal
G8,L60,R487,normal
G8,L60,R486,normal
G8,L60,R477,normal
G8,L60,R474,normal
G8,L60,R490,normal
G8,L60,R491,normal
G8,L60,R492,normal
G8,L60,R476,normal
G8,L60,R475,normal
G8,L60,R473,normal
G8,L60,R472,normal
G8,L59,R493,normal
G8,L59,R508,normal
G8,L59,R470,normal
G8,L64,R471,normal
G8,L64,R469,normal
G8,L64,R123,normal
G8,L64,R559,normal
G8,L64,R468,normal
G8,L64,R467,normal
G8,L64,R122,normal
G8,L64,R121,normal
G8,L65,R458,normal
G8,L65,R120,normal
G8,L65,R453,normal
G8,L65,R440,normal
G8,L65,R119,normal
G8,L65,R118,normal
G13,L61,R447,normal
G13,L61,R448,normal
G13,L61,R449,normal
G13,L61,R446,normal
G13,L61,R445,normal
G13,L61,R444,normal
G13,L61,R564,normal
G13,L45,R450,normal
G13,L45,R261,normal
