source,target,initial flow capacity,state
R1,R2,700,normal
R2,R3,700,normal
R3,R4,700,normal
R4,R5,700,normal
R5,R6,700,normal
R6,R7,700,normal
R7,R8,700,normal
R8,R9,700,normal
R9,R11,700,normal
R11,R12,700,normal
R12,R14,700,normal
R14,R15,700,normal
R1,R47,1600,normal
R47,R45,1600,normal
R45,R42,1600,normal
R42,R37,1600,normal
R37,R36,1600,normal
R36,R33,1600,normal
R33,R31,1600,normal
R31,R30,1600,normal
R30,R28,1600,normal
R28,R25,1600,normal
R25,R23,1600,normal
R23,R22,1600,normal
R22,R16,1600,normal
R16,R17,1600,normal
R17,R18,1600,normal
R47,R46,700,normal
R2,R46,700,normal
R46,R43,700,normal
R43,R44,700,normal
R44,R45,700,normal
R4,R42,700,normal
R42,R39,700,normal
R39,R41,700,normal
R5,R37,700,normal
R37,R38,700,normal
R6,R36,700,normal
R36,R35,700,normal
R7,R33,700,normal
R33,R34,700,normal
R8,R31,700,normal
R31,R32,700,normal
R10,R9,700,normal
R9,R30,700,normal
R30,R29,700,normal
R11,R28,700,normal
R28,R27,700,normal
R13,R12,700,normal
R12,R25,700,normal
R25,R26,700,normal
R14,R23,700,normal
R23,R24,700,normal
R15,R16,700,normal
R16,R21,700,normal
R19,R17,700,normal
R17,R20,700,normal
R40,R39,1600,normal
R39,R38,1600,normal
R38,R35,1600,normal
R35,R34,1600,normal
R34,R32,1600,normal
R32,R29,1600,normal
R60,R514,700,normal
R514,R57,700,normal
R57,R58,700,normal
R57,R59,700,normal
R57,R48,700,normal
R48,R49,700,normal
R49,R50,700,normal
R50,R51,700,normal
R49,R52,700,normal
R52,R53,700,normal
R52,R54,700,normal
R54,R55,700,normal
R54,R56,700,normal
R61,R62,700,normal
R62,R63,700,normal
R63,R64,700,normal
R64,R65,700,normal
R65,R66,700,normal
R66,R67,700,normal
R67,R68,700,normal
R68,R61,700,normal
R62,R69,700,normal
R69,R66,700,normal
R68,R69,700,normal
R69,R63,700,normal
R22,R48,2200,normal
R48,R102,2200,normal
R85,R84,1600,normal
R84,R81,1600,normal
R81,R80,1600,normal
R80,R573,1600,normal
R573,R499,1600,normal
R499,R75,1600,normal
R74,R574,700,normal
R574,R73,700,normal
R73,R72,700,normal
R76,R77,700,normal
R77,R78,700,normal
R78,R79,700,normal
R83,R84,1600,normal
R84,R577,1600,normal
R577,R485,1600,normal
R82,R81,1600,normal
R81,R87,2200,normal
R80,R88,1600,normal
R70,R75,1600,normal
R75,R74,1600,normal
R74,R76,1600,normal
R76,R480,1600,normal
R70,R71,1600,normal
